countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k,type,cases,rgdpe_per_pers,cases_per_pers
AGO,Angola,Kwanza,2019,228151.0156,227855.7188,31.825295,16.64496231,,1.481984377,155943.7188,198750.4219,227771.6094,223289.3125,1371321.25,0.017415317,0.380316734,0.325579017,222151.0625,155270.7031,198864.7344,1367457.875,1.003396273,0.937804401,0.917950809,0.331142336,0.109524034,0.043387678,364.825805,0.381504148,0.373183519,0.380674779,Extrapolated,Extrapolated,Market-based,Regular,Regular,,48.8889,0.498669744,0.191709593,0.199723393,0.344350696,-0.113983102,-0.120470256,0.438168645,0.342871785,0.24002412,0.476485759,0.611626506,0.209101334,0.378033251,confirmed,97263.0,7168.8578409092515,0.0030561539178191434
ALB,Albania,Lek,2019,35890.01953,36103.04297,2.880917,1.075897694,,2.964992046,33399.16797,40868.31641,35808.34375,36288.32813,229818.3281,,,,37204.77344,33426.44141,40984.5625,227804.6406,,,,,,0.027731989,109.8508333,0.419904172,0.426662356,0.421018928,Extrapolated,Extrapolated,Market-based,Regular,,,78.8889,0.714311898,0.205827802,0.206071287,0.126593605,-0.313949287,0.061144684,0.473077238,0.456882417,0.235588595,0.62983191,0.525462806,0.299344361,,confirmed,248070.0,12457.845724121866,0.08610799964039227
ARE,United Arab Emirates,UAE Dirham,2019,681525.8125,645956.25,9.770529,5.808834076,,2.746694803,306771.1563,515623.3125,678241.1875,635332.8125,4510359.5,,,,647986.25,306717.0313,533594.3125,4506529.0,,,,,,0.036909029,3.6725,0.716486454,0.620932877,0.662868738,Extrapolated,Extrapolated,Market-based,Regular,,,,0.355746329,0.328728735,0.127104774,0.889651537,-0.701230943,-4.84921e-07,0.725060999,0.480579555,0.692487717,0.688881695,0.647336185,0.268753558,,confirmed,828328.0,69753.21525579628,0.08477821415810752
ARG,Argentina,Argentine Peso,2019,991646.3125,977420.5625,44.780677,20.64321518,1609.068998,3.09680438,826692.5625,930002.375,991465.4375,978558.8125,3374818.5,0.031311926,0.812184334,0.742373288,975569.0,822399.5625,921896.5,3399148.5,1.022263288,0.931500852,0.875392675,0.543917656,0.119155519,0.035492208,48.14789167,0.433223814,0.453534245,0.459516078,Extrapolated,Extrapolated,Market-based,Regular,Regular,,80.0,0.620382965,0.105573431,0.224423245,0.102728277,-0.079542153,0.026434273,0.476809144,0.616059721,0.312738955,0.647736371,0.631129622,0.377945632,0.758449674,confirmed,7940657.0,22144.513636986776,0.17732329057910404
ARM,Armenia,Armenian Dram,2019,41048.62891,43582.57422,2.957731,0.966090977,,3.135994673,42821.80469,46950.61328,41045.19141,43795.6875,98945.86719,0.001158021,0.820758283,0.846244395,43260.19531,43101.3125,47185.84766,98812.77344,1.059019089,1.136325955,1.167809367,0.548671961,0.093098164,0.032631971,480.4451288,0.309524953,0.333115786,0.312195152,Extrapolated,Extrapolated,Market-based,Regular,Regular,,93.33336667,0.757309675,0.09427435,0.220453396,0.089797787,-0.197262198,0.035426978,0.348212659,0.57778722,0.176623538,0.666217089,0.587047994,0.432371885,0.617076576,confirmed,352399.0,13878.418595200172,0.11914504733527154
ATG,Antigua and Barbuda,East Caribbean Dollar,2019,1986.163208,1603.854492,0.097118,,,,1787.816772,2415.362061,1979.578003,1631.650513,10975.73145,,,,1511.545044,1772.28833,2443.897217,10993.36328,,,,,,0.027289992,2.7,0.80029428,0.839554131,1.018577814,Extrapolated,Extrapolated,Market-based,Outlier,,,47.7778,0.808960915,0.384607643,0.286749691,0.029887568,-0.609531581,0.099325761,0.899943829,0.951401711,0.519169033,0.766929209,0.571458817,0.672265649,,confirmed,6023.0,20451.03078728969,0.06201733973104883
AUT,Austria,Euro,2019,498022.25,477705.5,8.955102,4.550281048,1611.374223,3.381046295,329967.7813,479295.4063,496070.75,478329.3438,2875459.75,0.036331538,0.803705812,0.774540484,476723.3125,329227.875,480350.9688,2878110.75,1.040850878,0.998128593,0.989646196,0.583859503,0.05260032,0.04276967,0.893276257,0.959664285,0.897201478,0.93047893,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.511577547,0.312185794,0.178256333,0.529936731,-0.577150583,0.045194253,0.940321863,0.759177923,1.015175104,0.676696837,0.639682829,0.689651549,0.59033078,confirmed,1625651.0,55613.24147954987,0.18153349900425478
AZE,Azerbaijan,Azerbaijanian Manat,2019,162126.1875,159346.0,10.047718,5.027178764,,,122913.8047,142133.1406,162095.7969,157517.125,273638.75,0.004605429,,,143939.8125,122699.9922,142034.2188,275832.3125,1.099258661,,,0.254187077,0.213515565,0.056179516,1.7,0.264033914,0.29641512,0.30503124,Extrapolated,Extrapolated,Market-based,Regular,Regular,,76.66666667,0.564358711,0.122014232,0.215961531,0.24050577,-0.141402602,-0.001437648,0.306550652,0.503503501,0.152927577,0.518311024,0.612807631,0.354582101,0.901026607,confirmed,634488.0,16135.622785193613,0.0631474728888689
BDI,Burundi,Burundi Franc,2019,8664.988281,9109.688477,11.53058,5.0035882,,1.416526079,9894.192383,10998.05371,8660.569336,9166.323242,18806.58398,0.000284004,0.196675405,0.226955757,9250.675781,9873.473633,11112.49902,18935.97461,1.116163969,0.93894887,0.995549262,0.606218219,0.080174774,0.041114029,1845.622891,0.324728936,0.346668929,0.327541411,Extrapolated,Extrapolated,Market-based,Regular,Regular,,67.7778,0.870565891,0.120425709,0.208840996,0.044958826,-0.252394021,0.007602562,0.329780936,0.54332298,0.303669333,0.650271893,0.475957841,0.354543835,0.482056648,confirmed,37042.0,751.4789612491305,0.0032125010190293983
BEL,Belgium,Euro,2019,589449.125,517419.75,11.539328,4.921936512,1586.430997,3.149034023,394579.1563,583349.9375,586966.375,523688.5938,3496175.0,0.042660255,0.828750432,0.887872159,534102.3125,393544.125,584597.75,3498440.75,1.042251348,0.994152188,0.997614443,0.594810963,0.058639355,0.042378787,0.893276257,1.005610228,0.90822494,1.01796639,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.552580118,0.360463798,0.200881287,1.248495698,-1.362420917,2.18375e-16,0.946841002,0.704664707,1.167271376,0.667259037,0.606859505,0.62665242,0.586335838,confirmed,2830719.0,51081.75493408282,0.24531055881243694
BEN,Benin,CFA Franc BCEAO,2019,36740.74219,38295.49609,11.801151,4.300300598,,1.918609619,32134.76563,39112.125,36650.51953,38397.95313,88006.9375,0.000990917,0.431101918,0.422331691,39131.94531,32105.36328,39578.89844,88271.80469,1.188961387,0.998202205,1.001592755,0.617155015,0.127126396,0.045825057,585.9110132,0.363466114,0.392988175,0.375103831,Extrapolated,Extrapolated,Market-based,Regular,Regular,,68.88893333,0.709212422,0.181711763,0.127674997,0.033679686,-0.127646863,0.07536795,0.37486282,0.528954268,0.300159365,0.65854311,0.592603028,0.330675572,0.644392908,confirmed,26309.0,3113.318539013694,0.002229358814237696
BFA,Burkina Faso,CFA Franc BCEAO,2019,43608.875,43084.15234,20.321378,6.95875597,,1.286242485,37025.31641,46124.65625,43519.10547,43177.33984,86375.10156,0.001495008,0.429312915,0.441084564,41563.88281,37004.70313,46831.16406,86734.50781,1.223266125,0.972841859,1.023988008,0.460928023,0.199276507,0.058053084,585.9110132,0.358616203,0.367443323,0.370351762,Extrapolated,Extrapolated,Market-based,Regular,Regular,,62.22223333,0.681804597,0.210743457,0.17571269,0.119412959,-0.189707026,0.002033304,0.347729921,0.403360873,0.400857449,0.632870972,0.519219279,0.259644061,0.667696774,confirmed,20514.0,2145.9605249210954,0.0010094787863303364
BGD,Bangladesh,Taka,2019,756355.5625,759470.625,163.046161,65.53406525,2418.882693,2.101790428,602002.0625,802032.5,752750.875,757204.5625,2843306.5,,,,766135.3125,602186.6875,806958.75,2844179.25,,,,,,0.040487308,84.4535225,0.374945194,0.39993459,0.397582263,Extrapolated,Extrapolated,Market-based,Regular,,,62.22223333,0.729772747,0.264169633,0.065259494,0.088678896,-0.110007785,-0.037873,0.374309391,0.475141406,0.382055223,0.684669912,0.651656806,0.277324557,,confirmed,1699964.0,4638.9044541809235,0.010426274311358976
BGR,Bulgaria,Bulgarian Lev,2019,159419.9688,149432.4219,7.000119,3.420418501,1645.246464,3.186015129,125855.8672,153789.9063,159243.7344,150325.4375,458279.1563,0.005260708,0.72962749,0.717905402,148186.9219,125416.5,153762.0781,456857.2813,1.058309913,1.018590808,1.048852324,0.527658761,0.148052514,0.053235367,1.747041667,0.416034639,0.426550955,0.451856822,Extrapolated,Extrapolated,Market-based,Regular,Regular,,87.7778,0.585945487,0.185823798,0.251277208,0.334064871,-0.454821229,0.097709842,0.45914185,0.473931968,0.315514296,0.666178465,0.552354097,0.344140291,0.706237257,confirmed,891277.0,22773.894100943144,0.12732312122122494
BHR,Bahrain,Bahraini Dinar,2019,74097.22656,77077.60938,1.641172,0.743663609,,2.229506969,38913.15625,65401.71484,73728.82813,77180.33594,428701.6563,0.004559279,0.865924597,0.705721319,76237.61719,38817.84766,65646.26563,429310.6563,1.121821284,0.961610675,0.928431511,0.29705289,0.154326513,0.034297358,0.376,0.5540604,0.523188472,0.499791414,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.342502266,0.343203485,0.161682546,0.277852088,-0.368763596,0.243523166,0.584734321,0.477835834,0.48908183,0.660238028,0.674447417,0.316470921,0.688695967,confirmed,334164.0,45148.97071117469,0.20361302776308637
BHS,Bahamas,Bahamian Dollar,2019,14412.81836,12887.3916,0.389482,0.207315564,,,10031.15527,14340.18457,14354.98535,12962.30176,76626.07813,0.000876402,,,12739.76367,9907.073242,14298.27148,77112.60938,1.052599311,,,0.39721027,0.130924672,0.041120786,1.0,0.99938637,0.945929229,1.047560811,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.571230054,0.3324278,0.202641413,0.553790092,-0.635448039,-0.024641354,1.093544126,0.821484327,0.733963013,0.742338717,0.60462296,0.626360834,1.081507564,confirmed,32137.0,37005.094869596025,0.08251215717286035
BIH,Bosnia and Herzegovina,Convertible Marks,2019,46953.84375,45538.42578,3.301,0.690263569,,,44572.96484,54686.30469,46885.875,45816.26563,138297.5,0.001568177,,,45161.16406,44552.14453,54849.53516,138891.9219,1.087837934,,,0.671102285,0.100602329,0.05543673,1.747086461,0.429889768,0.430073023,0.440113366,Extrapolated,Extrapolated,Market-based,Regular,Regular,,64.44446667,0.709347129,0.220736861,0.263516158,0.286275893,-0.46500957,-0.014866502,0.468733817,0.430880755,0.325327188,0.615781069,0.522488654,0.300647557,0.489728719,confirmed,334141.0,14224.127158436837,0.101224174492578
BLR,Belarus,Belarussian Ruble,2019,201465.0156,204795.3438,9.452411,4.306441784,,,167731.6719,201248.7813,201463.5156,205916.1875,656323.125,0.007642472,,,200419.1875,169555.8438,205159.2656,659330.25,1.048210025,,,0.592541456,0.0524562,0.043182191,2.091783333,0.266696751,0.31311354,0.30634287,Extrapolated,Extrapolated,Market-based,Regular,Regular,,86.66666667,0.54553622,0.162770659,0.269026607,0.247753918,-0.329537272,0.104449891,0.309203267,0.545399845,0.180501387,0.645969331,0.581762314,0.403224081,0.389451593,confirmed,728804.0,21313.611479653184,0.07710244507988491
BLZ,Belize,Belize Dollar,2019,2680.849365,2186.921631,0.390353,0.158518478,,3.612769604,2424.055664,2915.569092,2676.101807,2218.947021,9956.207031,,,,2384.417236,2415.777832,2916.569824,9975.77832,,,,,,0.0507861,2.0,0.699287355,0.712461174,0.859244823,Extrapolated,Extrapolated,Market-based,Regular,,,63.33333333,0.853991032,0.22150746,0.23844406,0.72890538,-1.017049789,-0.025798043,0.727437079,0.777432442,0.598468721,0.640662313,0.512957811,0.484483987,,confirmed,47147.0,6867.756530627406,0.120780421823324
BRA,Brazil,Brazilian Real,2019,3089273.5,3080048.5,211.049527,93.95682526,1707.795058,3.091373205,2566911.0,3094944.5,3084710.0,3079724.5,13677290.0,0.165537909,0.506779969,0.489813656,3042119.0,2559893.0,3096299.75,13716485.0,1.014481544,0.970512033,0.994360507,0.57799536,0.099884383,0.047844715,3.927341871,0.613449275,0.59901768,0.599987328,Extrapolated,Extrapolated,Market-based,Regular,Regular,,84.44443333,0.649944842,0.171454787,0.183542386,0.132833183,-0.137775272,1.37799e-07,0.599449754,0.52886194,0.663023174,0.646921754,0.638165236,0.357598811,0.545480669,confirmed,24142032.0,14637.670806056816,0.11439036297863867
BRB,Barbados,Barbados Dollar,2019,4848.387207,3506.667969,0.287025,0.132258624,,2.846072435,4121.657227,4896.383301,4836.072266,3577.581055,33888.20703,0.000355386,0.366483182,0.482403845,3355.104248,4117.183105,4921.396973,33979.57422,0.932850063,1.011278033,1.00656569,0.750565946,0.019066535,0.035754088,2.0,1.081315994,1.077156067,1.456068993,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1.005086184,0.216550186,0.146993071,0.176246047,-0.750625432,0.205749884,1.075386405,1.055024862,1.121860385,0.704299808,0.58867538,0.722721279,0.423381597,confirmed,39709.0,16891.863799320618,0.1383468338994861
BTN,Bhutan,Ngultrum,2019,8528.711914,8987.999023,0.763092,0.320460737,,,7158.87793,9847.899414,8497.946289,8979.651367,61204.9375,,,,8922.638672,7128.860352,9578.03418,61362.53906,,,,,,0.045407228,70.41996909,0.255274981,0.301774085,0.285585701,Extrapolated,Extrapolated,Market-based,Regular,,,63.33336667,0.504761696,0.299457192,0.292471677,0.030469043,-0.08568579,-0.041473843,0.299536496,0.425566882,0.178886309,0.594679356,0.602691233,0.219301701,,confirmed,3811.0,11176.518577052308,0.004994155357414309
BWA,Botswana,Pula,2019,39315.9375,37975.00781,2.303697,0.921595812,,2.938816071,27926.60938,40322.22656,39212.87109,38095.60938,186374.6094,0.001745762,0.62282443,0.634024143,38448.84766,27844.61719,40672.07422,185835.8906,1.11067307,0.982204616,1.053907514,0.277960986,0.175923765,0.044219784,10.75586667,0.457593858,0.467718214,0.481435359,Extrapolated,Extrapolated,Market-based,Regular,Regular,,51.1111,0.491375655,0.325381756,0.24169071,0.199912846,-0.302066088,0.04370521,0.502110422,0.490527719,0.367088318,0.68779093,0.569940031,0.324760348,0.878403604,confirmed,245904.0,17066.453400772756,0.1067432045099681
CAF,Central African Republic,CFA Franc BEAC,2019,4532.561035,4642.44873,4.745185,1.844327927,,1.56162703,5007.587891,5774.982422,4523.73877,4653.580566,31822.44531,0.000359621,0.212691322,0.253853947,4558.394043,5010.036621,5703.895996,31898.41406,1.045536876,1.020293832,1.057673454,0.16431579,0.101561487,0.031044649,585.9110132,0.463356555,0.490812272,0.477117866,Extrapolated,Extrapolated,Market-based,Regular,Regular,,35.55553333,0.861471772,0.164904073,0.21460025,0.016788397,-0.131944269,-0.125820249,0.495755792,0.669973135,0.333295971,0.685964346,0.632491231,0.38013646,0.597470224,confirmed,13611.0,955.1916384714189,0.0028683813170614
CHE,Switzerland,Swiss Franc,2019,617131.8125,646919.625,8.591365,5.01120472,1556.882844,3.702678442,341060.4063,538317.9375,613829.625,644661.75,3225664.0,0.05101173,0.924899161,0.742800415,648257.25,340705.0,541024.4375,3221460.25,1.03562808,1.020054579,1.003983736,0.68410033,0.030625358,0.05008585,0.993841435,1.354843855,1.191577315,1.134588003,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.450471401,0.305986106,0.078581899,0.685595334,-0.592603862,0.071969077,1.310078859,0.909287691,1.611459017,0.709606886,0.723222494,0.917411625,0.524511278,confirmed,1966600.0,71831.63705650964,0.2289042544461794
CHL,Chile,Chilean Peso,2019,447186.625,440683.3438,18.952038,8.100071907,1914.4,3.145768881,335944.1875,447498.0938,445883.9063,441291.0938,2075795.0,0.015935378,0.750685573,0.732140958,443616.2188,335363.7188,448321.625,2085805.0,1.071668267,1.004681587,1.012325406,0.439614415,0.108962156,0.041827131,702.8974226,0.652022064,0.633165181,0.639754891,Extrapolated,Extrapolated,Market-based,Regular,Regular,,90.0,0.580852866,0.252789855,0.180422857,0.240418822,-0.250545025,-0.003939345,0.693844616,0.57637769,0.517378569,0.656785011,0.629424989,0.405794829,1.149658918,confirmed,1984190.0,23595.701158893833,0.10469533672315347
CMR,Cameroon,CFA Franc BEAC,2019,92642.14844,94487.52344,25.87638,10.36527634,,1.895813227,81851.67969,97836.21875,92454.82813,94377.69531,249906.4375,0.002896758,0.441917807,0.440597743,93489.34375,81804.49219,98280.99219,250076.7188,1.097192168,1.000060797,1.022422552,0.503528833,0.137648776,0.047827065,585.9110132,0.393035114,0.420328081,0.411764264,Extrapolated,Extrapolated,Market-based,Regular,Regular,,56.6667,0.719867826,0.169367731,0.14740999,0.077260002,-0.124618016,0.010712439,0.41058892,0.560086608,0.307312191,0.537255049,0.560804129,0.368428916,0.771268308,confirmed,114113.0,3580.18194353306,0.004409929054991463
COL,Colombia,Colombian Peso,2019,695683.625,707659.625,50.339443,21.19960785,1968.367262,2.598787069,627769.875,738905.75,695070.3125,706174.3125,2194572.5,0.025199855,0.638708174,0.642762542,695584.4375,624830.75,737301.0625,2196754.75,1.073464751,1.018356085,1.038632035,0.495211363,0.112819634,0.038317889,3280.831631,0.433281779,0.465856194,0.458530992,Extrapolated,Extrapolated,Market-based,Regular,Regular,,81.1111,0.662843525,0.157377407,0.226129428,0.102263279,-0.126333192,-0.022280481,0.474050909,0.649858236,0.31377694,0.546825111,0.590673268,0.453162581,0.751100063,confirmed,5761398.0,13819.85146319557,0.11445096839867695
COM,Comoros,Comoro Franc,2019,2659.691406,2730.402588,0.850886,0.201388389,,,2751.916748,3095.677979,2658.228271,2746.731934,12915.60156,,,,2735.202637,2749.571533,3117.366943,12924.09277,,,,,,0.031073058,439.4631103,0.426190615,0.438578159,0.424446464,Extrapolated,Extrapolated,Market-based,Regular,,,47.77776667,0.803764522,0.125152856,0.198123127,0.084921248,-0.211962447,7.25196e-07,0.47705099,0.537744045,0.219855562,0.640236914,0.586041749,0.344542861,,confirmed,7814.0,3125.790535982493,0.009183368864924326
CPV,Cabo Verde,Cabo Verde Escudo,2019,3953.553223,3998.619385,0.549935,0.212166578,,,3530.956787,4512.958984,3941.941895,4044.035645,19152.57422,0.000201151,,,4090.601563,3523.072754,4482.833984,19195.67969,1.070922136,,,0.626747847,0.041470736,0.039369747,98.49517859,0.444474488,0.502758801,0.490066409,Extrapolated,Extrapolated,Market-based,Regular,Regular,,64.44443333,0.650370419,0.242827281,0.222756565,0.025016159,-0.363360435,0.222389981,0.463990569,0.712330163,0.387494445,0.611659706,0.537418664,0.478819311,0.425848335,confirmed,55401.0,7189.1282115159065,0.10074099666324203
CRI,Costa Rica,Costa Rican Colon,2019,97161.35938,93491.82813,5.047561,2.256355524,2069.245457,2.694771767,81095.86719,95721.96094,97073.26563,93967.24219,236104.75,0.002709962,0.744464934,0.729373336,94038.67969,80833.10938,95469.65625,236931.3594,1.062246919,1.028939366,1.003138423,0.579785943,0.144130185,0.048747163,587.2945957,0.614812791,0.636364102,0.657398701,Extrapolated,Extrapolated,Market-based,Regular,Regular,,91.1111,0.633876026,0.155651018,0.229146719,0.177417934,-0.285355926,0.089264236,0.656626403,0.755857408,0.499146223,0.686921477,0.600664139,0.562825024,1.109221816,confirmed,643496.0,19249.169921869194,0.12748652269878463
CYP,Cyprus,Euro,2019,33665.64063,28053.96875,0.868495,0.366567165,1805.239785,2.904392004,25822.46484,33675.10547,33543.33984,28377.01367,214205.0625,0.002158908,0.681838632,0.77820611,28697.79688,25843.20898,34073.375,215441.2656,1.02830255,1.021807551,1.002974749,0.55271405,0.079663217,0.034274697,0.893276257,0.773313105,0.732345104,0.865676045,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.750564575,0.276725471,0.159413666,0.180232391,-0.593343437,0.226407349,0.748361647,0.597626746,0.890791774,0.688420951,0.545167863,0.459788859,0.589357674,confirmed,241888.0,38763.194526163075,0.278513981082217
DEU,Germany,Euro,2019,4308861.5,4275312.0,83.517045,44.79519653,1386.196834,3.675377846,3078229.25,4048756.25,4297892.0,4274167.5,20907856.0,0.257094502,0.908784688,0.827945769,4314067.5,3071796.75,4060906.25,20957202.0,1.032844663,0.990668237,1.002454877,0.641904414,0.044736132,0.037005533,0.893276257,0.913335562,0.898376167,0.903362751,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.536769331,0.227068081,0.183424518,0.603715062,-0.550977051,0.0,0.881662011,0.850929201,1.006024241,0.701677203,0.673799157,0.830244124,0.622766972,confirmed,8909503.0,51592.60004948691,0.1066788581899659
DJI,Djibouti,Djibouti Franc,2019,6934.768066,5970.281738,0.97356,0.372467875,,,5086.481445,8845.979492,6891.835938,6095.722656,11176.5166,0.000138489,,,4778.252441,5075.581055,8653.740234,11186.58008,1.180414796,,,0.633568585,0.116590276,0.066440262,177.72,0.509023547,0.459431827,0.519434571,Extrapolated,Extrapolated,Market-based,Regular,Regular,,58.8889,0.626534104,0.616743565,0.207900465,1.153430104,-1.604608297,1.77729e-12,0.506906748,0.392335862,0.515402734,0.676320136,0.577942193,0.565237582,0.97015208,confirmed,15349.0,7123.102906857307,0.015765849048851636
DMA,Dominica,East Caribbean Dollar,2019,840.083313,741.6141968,0.071808,,,,916.637085,1069.638306,839.1471558,753.6078491,2821.068848,,,,765.7719727,916.1255493,1077.663574,2833.898438,,,,,,0.040546142,2.7,0.672141969,0.694037974,0.772815704,Extrapolated,Extrapolated,Market-based,Regular,,,50.0,0.898236036,0.203024939,0.318095595,0.071524434,-0.502717853,0.011836901,0.707016528,0.825217962,0.573663354,0.748007596,0.546867728,0.628595173,,confirmed,8517.0,11699.021181483957,0.11860795454545454
DNK,Denmark,Danish Krone,2019,322637.5,311838.0,5.771876,2.971836567,1380.607643,3.59926486,205815.2813,297974.6563,321613.5625,312004.0625,1594880.0,0.021039983,0.914099216,0.839620173,311263.6563,205050.125,298115.4688,1598105.625,1.039087653,1.026076198,1.017729998,0.620392084,0.058174238,0.042991955,6.669446615,1.18972075,1.088586926,1.122114658,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.446605474,0.295378715,0.213050321,0.523103178,-0.515128732,0.036990989,1.158098936,0.862729669,1.256007671,0.673927963,0.604830384,0.835327387,0.731464148,confirmed,1438181.0,55898.20363431231,0.24917046034946005
